original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1081 HR Amsterdam,Pekkendam 8,52.32780000,4.86200000,1700000,242,720,2,1964,1,woonhuis,26,7,45.897876912526065,"Van Der Boechorststraat 40, 1081 BV Amsterdam, Netherlands",52.327514,4.861513,,40,Van Der Boechorststraat,1081BV,Zuid,Buitenveldert-West,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1060 PD Amsterdam,Pasubio 13,52.34910000,4.78350000,275000,84,281,2,1994,1,woonhuis,20,3,2.700931735231882,"De Alpen, 1060 PH Amsterdam, Netherlands",52.3502145,4.780774,De Alpen,,De Alpen,1060PH,,De Aker,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1098 CB Amsterdam,Hogeweg 2 A2,52.35290000,4.94220000,740000,143,450,2,1900,0,appartement,20,6,5.359207257903827,"Voltaplein 42, 1098 NS Amsterdam, Netherlands",52.3529478,4.9421899,,42,Voltaplein,1098NS,Oost,Oost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1013 AW Amsterdam,Silodam 384,52.38770000,4.88390000,38000,0,0,1,0,0,parkeergelegenheid,1,1,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1055 BN Amsterdam,Sanderijnstraat 29 III,52.38020000,4.85240000,285000,50,165,1,1940,1,appartement,21,3,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1066 DA Amsterdam,Gerrit van der Puijstraat 4,52.34600000,4.81630000,415000,129,441,3,1993,1,woonhuis,31,6,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1017 BA Amsterdam,Beulingstraat 6 /B,52.36300000,4.89240000,650000,124,353,1,1906,0,appartement,25,2,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1058 XK Amsterdam,Bonairestraat 64 hs,52.35790000,4.85100000,299000,59,227,1,1930,1,appartement,17,3,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,Surinameplein,,Surinameplein,1058,,,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1068 WX Amsterdam,Nicolaas Anslijnstraat 145,52.35920000,4.80520000,200000,82,200,2,1963,0,appartement,33,3,1.9680665618174287,"Osdorpplein 677, 1068 TC Amsterdam, Netherlands",52.3592167,4.8052096,,677,Osdorpplein,1068TC,Nieuw-West,Nieuw-West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1092 BB Amsterdam,Beukenplein 53,52.35650000,4.92280000,395000,82,237,1,1997,0,appartement,18,3,22.97756790395036,"Tugelaweg 40G, 1092 VG Amsterdam, Netherlands",52.35637,4.923063,,40G,Tugelaweg,1092VG,Oost,Transvaalbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1082 MS Amsterdam,Gustav Mahlerplein 227,52.33110000,4.87420000,945000,157,471,1,2009,0,appartement,35,3,14.773310690004186,"Doddendaal 197, 1082 XT Amsterdam, Netherlands",52.3309672,4.8742065,,197,Doddendaal,1082XT,Zuid,Buitenveldert,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1055 RZ Amsterdam,Nieuwpoortstraat 86 B6,52.38020000,4.85240000,237500,49,174,1,2017,1,appartement,20,2,1.7680981373911713,"Hertspieghelweg 8-3, 1055 KL Amsterdam, Netherlands",52.380187,4.852385,,8-3,Hertspieghelweg,1055KL,West,Landlust,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1016 XM Amsterdam,Raamstraat 4,52.37090000,4.88160000,895000,135,464,6,1906,1,woonhuis,37,9,0,"Canal Ring Area of Amsterdam, Konijnenstraat 20, 1021 HR Amsterdam, Netherlands",52.3709412,4.8817323,Canal Ring Area of Amsterdam,20,Konijnenstraat,1021HR,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1106 DS Amsterdam,Wamelplein 107,52.29910000,4.97540000,139500,60,177,4,1983,0,appartement,20,2,2.9495910662578444,"Pannerdenstraat, 1106 BG Amsterdam, Netherlands",52.2991825,4.9753742,Pannerdenstraat,,Pannerdenstraat,1106BG,,Zuidoost,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1013 Amsterdam,Narva Eiland West (Bouwnr. 71),52.38770000,4.88390000,753919,142,355,2,2017,0,woonhuis,10,6,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1072 CV Amsterdam,Albert Cuypstraat 40 -3,52.35350000,4.89020000,250000,37,89,1,1906,0,appartement,19,2,4.566243169923167,"Eerste Jan van der Heijdenstraat 109-HV, 1072 TN Amsterdam, Netherlands",52.3534607,4.8901805,,109-HV,Eerste Jan van der Heijdenstraat,1072TN,,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
