original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,housenumber,name,street,district,suburb,postcode,city,state,country,country_code,attribution,attribution_license,attribution_url
1058 TE Amsterdam,Woestduinstraat 24,52.35790000,4.85100000,645000,115,300,2,1956,0,appartement,22,4,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,,1058,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1022 KD Amsterdam,Noorderkwartier (Bouwnr. 39),52.39870000,4.92990000,492396,139,348,2,2016,1,woonhuis,3,5,28.394804797101706,"Loenermark 471, 1025 TP Amsterdam, Netherlands",52.398945,4.930018,471,,Loenermark,Noord,Buikslotermeer,1025TP,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1024 BC Amsterdam,Jisperveldstraat 566,52.39390000,4.95470000,190000,84,260,1,1968,0,appartement,18,4,5.346782837843484,"Zandvoortstraat 70, 1024 WE Amsterdam, Netherlands",52.3938521,4.9546931,70,,Zandvoortstraat,Noord,Waterlandpleinbuurt,1024WE,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1108 DD Amsterdam,Leusdenhof 165,52.30820000,4.98070000,250000,0,0,1,0,0,onbekend,1,1,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,31,Openbare Daltonschool Nellestein,Leksmondplein,Zuidoost,Nellestein,1108EL,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1028 BH Amsterdam,Bloemendalergouw 43,52.40140000,5.00730000,975000,124,419,3,1973,1,woonhuis,23,6,500.8931529344327,"Bloemendalergouw 49B, 1028 BH Amsterdam, Netherlands",52.396972,5.008656,49B,,Bloemendalergouw,Noord,Waterland,1028BH,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1058 KK Amsterdam,Haarlemmermeerstraat 158 hs,52.35790000,4.85100000,550000,145,420,2,1929,1,appartement,27,5,3.014316145532016,"Surinameplein, 1058 Amsterdam, Netherlands",52.357885,4.8518022,,Surinameplein,Surinameplein,,,1058,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1071 TZ Amsterdam,Balthasar Floriszstraat 9 huis,52.35520000,4.87890000,725000,107,402,2,1899,1,appartement,20,5,19.593762206140674,"Wouwermanstraat 26-H, 1071 LZ Amsterdam, Netherlands",52.3550303,4.8789777,26-H,,Wouwermanstraat,Zuid,Zuid,1071LZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 GM Amsterdam,Oudezijds Voorburgwal 316 G,52.37350000,4.89510000,925000,180,370,1,1906,0,appartement,29,3,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,157,,Warmoesstraat,Centrum,Oudezijde,1012JC,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1051 HR Amsterdam,Eerste Keucheniusstraat 20 -HS,52.38180000,4.87170000,325000,58,209,1,1912,1,appartement,16,3,4.222585482550074,"Van Beuningenstraat 194E, 1051 XZ Amsterdam, Netherlands",52.381764,4.8716802,194E,,Van Beuningenstraat,West,West,1051XZ,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 JR Amsterdam,Lambertus Zijlplein 109,52.37860000,4.79870000,300000,105,325,1,2004,0,appartement,35,4,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,8,,Strackéstraat,Nieuw-West,Geuzenveld,1067KR,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
