original_postalcode,original_street,original_lat,original_lng,original_price,original_area,original_volume,original_floors,original_year_build,original_has_garden,original_type,original_photos,original_rooms,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,state,country,country_code,attribution,attribution_license,attribution_url
1015 AK Amsterdam,Langestraat 31,52.37840000,4.88360000,895000,164,450,4,1700,0,woonhuis,42,5,11.715735159463115,"Westerstraat 105-1, 1015 LX Amsterdam, Netherlands",52.3783013,4.8836604,,105-1,Westerstraat,1015LX,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1018 LZ Amsterdam,Kleine Wittenburgerstraat 124,52.36760000,4.91840000,275000,56,189,1,1981,0,appartement,27,2,4.080374033250982,"Entrepotdoksluis 4, 1018 AW Amsterdam, Netherlands",52.367578,4.9184481,,4,Entrepotdoksluis,1018AW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1073 TB Amsterdam,Karel du Jardinstraat 53 HS+PP,52.35320000,4.89820000,550000,83,328,1,2000,1,appartement,39,3,2.2512175683180513,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",52.3532055,4.8981681,,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1073 XA Amsterdam,Gerard Doustraat 190 III,52.35320000,4.89820000,375000,69,222,1,1880,0,appartement,18,2,2.2512175683180513,"Van Ostadestraat 209K, 1073 TN Amsterdam, Netherlands",52.3532055,4.8981681,,209K,Van Ostadestraat,1073TN,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1067 MT Amsterdam,Jan van Duivenvoordestraat 137,52.37860000,4.79870000,249000,97,295,1,2002,0,appartement,22,4,18.895369031063424,"Strackéstraat 8, 1067 KR Amsterdam, Netherlands",52.37863,4.798974,,8,Strackéstraat,1067KR,Nieuw-West,Geuzenveld,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1017 BM Amsterdam,Reguliersdwarsstraat 46 -D*,52.36300000,4.89240000,650000,96,290,1,1999,0,appartement,26,3,0.6133852941470841,"Kerkstraat 245L, 1017 GW Amsterdam, Netherlands",52.3629963,4.8923933,,245L,Kerkstraat,1017GW,Centrum,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1108 CD Amsterdam,Leerdamhof 334,52.30820000,4.98070000,160000,71,180,1,1976,1,appartement,28,2,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,Openbare Daltonschool Nellestein,31,Leksmondplein,1108EL,Zuidoost,Nellestein,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1077 NS Amsterdam,Minervalaan 71 -hs,52.34600000,4.87380000,1150000,131,445,1,1930,1,appartement,22,5,8.308924963734398,"Rubensstraat 70, 1077 NA Amsterdam, Netherlands",52.3459835,4.8736807,,70,Rubensstraat,1077NA,Zuid,Zuid,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1066 TK Amsterdam,Blankenbergestraat 61,52.34600000,4.81630000,450000,170,500,3,1995,1,woonhuis,36,5,2.7080196663115323,"Antwerpenbaan, Laan van Vlaanderen, 1066 JL Amsterdam, Netherlands",52.3460233,4.8162884,Antwerpenbaan,,Laan van Vlaanderen,1066JL,Nieuw-West,Sloterpolder,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1057 PT Amsterdam,Van Kinsbergenstraat 88,52.36770000,4.85510000,400000,73,235,1,2011,0,appartement,35,3,0.972402630340097,"Maranatha, Cabotstraat 33, 1057 VP Amsterdam, Netherlands",52.36786965,4.855041608946916,Maranatha,33,Cabotstraat,1057VP,West,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1054 ZH Amsterdam,Jacob van Lennepkade 71 H,52.36170000,4.86690000,700000,104,252,4,1895,1,appartement,34,4,12.085615741751521,"Brederodestraat 15-2, 1054 MP Amsterdam, Netherlands",52.361808,4.86692,,15-2,Brederodestraat,1054MP,West,Helmersbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1074 GA Amsterdam,Diamantstraat 17 / A-1,52.35390000,4.90420000,420000,84,238,1,1906,0,appartement,16,4,2.0789574675973093,"Kuipersstraat 63-H, 1074 EG Amsterdam, Netherlands",52.353913,4.904222,,63-H,Kuipersstraat,1074EG,Zuid,Nieuwe Pijp,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1013 Amsterdam,Houthavenweg,52.38770000,4.88390000,454761,93,260,1,2017,0,appartement,9,3,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1011 MK Amsterdam,Rapenburgerstraat,52.37100000,4.90410000,60000,0,0,1,0,0,parkeergelegenheid,1,1,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1011 KN Amsterdam,'s-Gravelandse Veer 10 SOUS,52.37100000,4.90410000,450000,77,308,5,1850,0,appartement,20,2,0.9358233445245736,"Keizersbrug, 1011 KV Amsterdam, Netherlands",52.3710995,4.9040025,Keizersbrug,,Keizersbrug,1011KV,,Centrum,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1052 VL Amsterdam,Gillis van Ledenberchstraat 128 I,52.37700000,4.87400000,325000,60,180,5,1931,0,appartement,26,3,2.189558787067854,"Frederik Hendrikstraat 48-1, 1052 HW Amsterdam, Netherlands",52.3770196,4.8739969,,48-1,Frederik Hendrikstraat,1052HW,West,West,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1108 DT Amsterdam,Leusdenhof 347,52.30820000,4.98070000,177500,75,266,1,1980,1,appartement,19,3,60.948473119679264,"Openbare Daltonschool Nellestein, Leksmondplein 31, 1108 EL Amsterdam, Netherlands",52.308666,4.980228,Openbare Daltonschool Nellestein,31,Leksmondplein,1108EL,Zuidoost,Nellestein,Amsterdam,North Holland,Netherlands,nl,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1012 JS Amsterdam,Dam 5 /N,52.37350000,4.89510000,2850000,211,580,1,2017,0,appartement,20,4,21.629838672501716,"Warmoesstraat 157, 1012 JC Amsterdam, Netherlands",52.373392,4.895365,,157,Warmoesstraat,1012JC,Centrum,Oudezijde,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
1013 Amsterdam,Narva Eiland West (Bouwnr. 80),52.38770000,4.88390000,1037459,170,425,1,2017,0,appartement,8,4,22.600580536478933,"Houtmankade 58A, 1013 MZ Amsterdam, Netherlands",52.387801,4.883611,,58A,Houtmankade,1013MZ,West,Spaarndammer- en Zeeheldenbuurt,Amsterdam,North Holland,Netherlands,nl,© OpenAddresses contributors,BSD-3-Clause License,
