Country	Year	Life expectancy 
discrete	continuous	continuous
		class
Cuba	2015.0	79.1
Cuba	2014.0	79.0
Cuba	2013.0	78.7
Cuba	2012.0	78.7
Cuba	2011.0	78.8
Cuba	2010.0	78.0
Cuba	2009.0	78.1
Cuba	2008.0	77.9
Cuba	2007.0	78.1
Cuba	2006.0	78.0
Cuba	2005.0	77.2
Cuba	2004.0	77.3
Cuba	2003.0	77.4
Cuba	2002.0	77.7
Cuba	2001.0	76.7
Cuba	2000.0	76.9
Netherlands	2015.0	81.9
Netherlands	2014.0	81.7
Netherlands	2013.0	81.4
Netherlands	2012.0	81.1
Netherlands	2011.0	81.1
Netherlands	2010.0	88.0
Netherlands	2009.0	86.0
Netherlands	2008.0	83.0
Netherlands	2007.0	82.0
Netherlands	2006.0	79.8
Netherlands	2005.0	79.4
Netherlands	2004.0	79.2
Netherlands	2003.0	78.7
Netherlands	2002.0	78.4
Netherlands	2001.0	78.3
Netherlands	2000.0	78.1
United States of America	2015.0	79.3
United States of America	2014.0	79.1
United States of America	2013.0	78.9
United States of America	2012.0	78.8
United States of America	2011.0	78.7
United States of America	2010.0	78.7
United States of America	2009.0	78.5
United States of America	2008.0	78.2
United States of America	2007.0	78.1
United States of America	2006.0	77.8
United States of America	2005.0	77.5
United States of America	2004.0	77.5
United States of America	2003.0	77.2
United States of America	2002.0	77.0
United States of America	2001.0	76.9
United States of America	2000.0	76.8
