CustomerId;Recency;Frequency;MonetaryValue
12346;325;1;77184
12347;2;7;616
12348;75;4;449
12349;18;1;1758
12350;310;1;334
12352;36;8;313
12353;204;1;89
12354;232;1;1079
12355;214;1;459
12356;22;3;937
12357;33;1;6208
12358;1;2;584
12359;57;4;1593
12360;52;3;887
12361;287;1;190
12362;3;10;523
12363;109;2;276
12364;7;4;328
12365;291;2;321
12367;4;1;169
12370;51;4;886
12371;44;2;944
12372;71;3;433
12373;311;1;365
12374;25;1;743
12375;10;2;229
12377;315;2;814
12378;129;1;4009
12379;81;2;426
12380;21;4;681
12381;4;5;369
12383;184;5;370
12384;28;2;293
12386;337;2;201
12388;15;6;463
12390;79;1;550
12391;21;1;461
12393;72;4;396
12394;63;2;636
12395;19;12;252
12397;35;2;1205
12398;45;1;1636
12399;119;4;277
12401;303;1;84
12402;323;1;226
12403;49;1;428
12405;148;1;1710
12406;22;2;1708
12407;49;5;342
12408;32;5;578
12409;78;3;3691
12410;308;2;347
12412;74;3;409
12413;66;3;253
12414;217;3;187
12415;24;21;5948
12417;3;9;405
12418;112;1;669
12420;63;1;600
12421;15;4;202
12422;95;3;268
12423;0;8;232
12424;162;2;880
12425;78;1;777
12426;194;1;583
12427;21;3;275
12428;25;9;884
12429;9;4;938
12430;43;1;256
12431;35;15;432
12432;42;5;1012
12433;0;7;1911
12434;84;2;403
12435;79;2;3915
12436;99;1;509
12437;1;18;275
12438;14;2;1453
12441;366;1;174
12442;3;1;172
12444;21;5;1001
12445;22;1;133
12446;57;1;1002
12447;243;1;476
12448;44;1;449
12449;22;4;1017
12450;156;2;99
12451;10;5;1807
12452;16;2;215
12453;134;1;707
12454;56;1;3528
12455;73;6;411
12456;44;3;1060
12457;66;7;338
12458;71;2;474
12461;94;2;413
12462;18;2;595
12463;53;4;336
12464;10;8;152
12465;17;2;371
12468;187;2;365
12471;2;30;661
12472;32;7;939
12473;29;5;788
12474;17;18;410
12475;53;1;723
12476;15;11;620
12477;22;6;2203
12478;3;1;681
12479;11;1;527
12480;28;4;820
12481;22;10;560
12483;17;8;311
12484;32;6;757
12488;9;3;433
12489;336;1;335
12490;5;10;542
12491;38;1;460
12492;63;2;132
12493;165;2;217
12494;15;7;178
12497;81;1;1043
12498;21;3;135
12500;23;11;387
12501;336;1;2169
12502;95;5;745
12504;18;2;241
